group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
episode_id,s0_t1118936660200_a1128,223,31,1,-0.09656722978048095,-0.23585943964222048,0.08344779041125769,0.23185024151296307,train
episode_id,s0_t1118936680200_a1081,243,31,1,-0.06668332133262347,-0.1565438475941365,0.06917299358145135,0.13154127833784784,train
episode_id,s0_t1118936680200_a1122,162,31,1,-0.11020075571545156,-0.33572290167266583,0.18102672746817547,0.43399427959778436,train
episode_id,s0_t1118936680200_a1159,230,31,1,-0.08747903737348084,-0.21979750654960611,0.12725077508559776,0.3208458367000815,train
episode_id,s0_t1118936700200_a1123,221,31,1,-0.05976550373428617,-0.14930155352084495,0.06491947086404821,0.16665127003348587,train
episode_id,s0_t1118936700200_a1136,248,31,1,-0.018250855764088393,-0.05428071120370562,0.009832955615734398,0.03857731149522972,train
episode_id,s0_t1118936700200_a1164,248,31,1,-0.0035037182273282715,-0.01045044377848137,0.005453760115196344,0.011750995393332601,train
episode_id,s0_t1118936720200_a1142,109,23,1,-0.02685612557811316,-0.11576098167290604,0.053499775039737046,0.24688513748390276,train
episode_id,s0_t1118936720200_a1160,248,31,1,-0.00017859903139636382,-0.00427697656730044,0.00808923472144748,0.025388632862971043,train
episode_id,s0_t1118936720200_a1167,163,25,1,-0.08951544507507485,-0.1520394443622023,0.0910290357223314,0.20141622808941376,train
episode_id,s0_t1118936740200_a1151,162,31,1,-0.01330501017544112,-0.0374637796322922,0.04996114606008409,0.1771624542602797,train
episode_id,s0_t1118936740200_a1186,196,31,1,-0.03482495882319275,-0.10294044020861462,0.05139733567651077,0.17343931006225355,train
episode_id,s0_t1118936740200_a1193,186,31,1,0.0008878338429407182,0.0013652448546790622,-0.0008875596502810645,-0.0007846437904109053,train
episode_id,s0_t1118936760200_a1160,7,4,1,-0.06098879369461798,,0.047939184145270534,,train
episode_id,s0_t1118936760200_a1176,202,31,1,-0.06729016154397938,-0.19009730209992626,0.15239733514004847,0.41018528349355127,train
episode_id,s0_t1118936760200_a1210,194,31,1,-0.061759453083027445,-0.19106675459413916,0.1297260957624805,0.35200065064111313,train
episode_id,s0_t1118936780200_a1187,78,31,1,-0.012488118403918658,-0.011233735384668262,0.1115351721844339,0.13289633851585367,train
episode_id,s0_t1118936780200_a1190,106,28,1,-0.11937058306034762,-0.30294044619583155,0.21344266587936137,0.4168351563384315,train
episode_id,s0_t1118936780200_a1191,120,31,1,-0.09035534620973844,-0.20039803909118334,0.1573031224737128,0.22345938086523637,train
episode_id,s1_t1118936820200_a1273,225,31,1,-0.004832125171885511,-0.028978003708089256,0.03528315016054967,0.10534504660394656,train
episode_id,s1_t1118936820200_a1304,248,31,1,-0.013045344444286126,-0.034493520885911406,0.01680501376967364,0.048507081490643165,train
episode_id,s1_t1118936820200_a1340,245,31,1,-0.04434792398819644,-0.10849392850203955,0.06129293688441003,0.16378759498263526,train
episode_id,s1_t1118936840200_a1304,203,31,1,0.001081020078406482,0.005115912812068033,0.008408814433677235,0.013419978446664028,train
episode_id,s1_t1118936840200_a1308,70,31,1,-0.09501710510450567,-0.23839806476212264,0.12288233795323691,0.3225127505683536,train
episode_id,s1_t1118936840200_a1343,248,31,1,0.00027048827843049593,-0.001955446267099856,0.037378805418414325,0.11721626676469271,train
episode_id,s1_t1118936860200_a1353,248,31,1,-0.008153555698689897,-0.022542575572363638,0.03740928428038936,0.10371701409514635,train
episode_id,s1_t1118936860200_a1354,248,31,1,-0.002828153501536266,-0.00827130028666185,0.03652118124373776,0.10636133294211315,train
