kind,scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,gt_rd_snr_db,peak_power,noise_floor,cfar_score
detection,synthetic,count1_r40_norm_b0,20.0,0,0,10-75,35.9176003468815,25.321081303074273,-10.596519043807227,,3875861.0934534143,11383.087486979966,27.729590266304104
input,synthetic,count1_r40_norm_b0,20.0,0,1,150-225,10.253193962211608,,,,,,
detection,synthetic,count1_r40_norm_b0,20.0,0,1,150-225,10.253193962211608,25.210098112305094,14.956904150093486,,10466.302230708425,31.534319266133835,27.0299432191898
input,synthetic,count1_r40_norm_b40,-5.0,0,0,10-75,10.917600346881509,,,,,,
detection,synthetic,count1_r40_norm_b40,-5.0,0,0,10-75,10.917600346881509,25.29256865942696,14.37496831254545,,12240.966127528489,36.187520761978604,27.548134081571206
input,synthetic,count1_r40_norm_b40,-5.0,0,1,150-225,-14.119422122743451,,,,,,
detection,synthetic,count1_r40_norm_b40,-5.0,0,1,150-225,-14.119422122743451,21.502431381774358,35.62185350451781,,37.34247259874417,0.2642164984930528,11.510083131763805
input,synthetic,count1_r40_norm_b40,0.0,0,0,10-75,15.917600346881509,,,,,,
detection,synthetic,count1_r40_norm_b40,0.0,0,0,10-75,15.917600346881509,25.29862497076262,9.381024623881112,,38713.655566851325,114.28827683992293,27.58657722751143
input,synthetic,count1_r40_norm_b40,0.0,0,1,150-225,-9.119422122743451,,,,,,
detection,synthetic,count1_r40_norm_b40,0.0,0,1,150-225,-9.119422122743451,23.433408664554495,32.55283078729795,,118.27911774465753,0.5364968914866952,17.954618787475894
input,synthetic,count1_r40_norm_b40,5.0,0,0,10-75,20.917600346881507,,,,,,
detection,synthetic,count1_r40_norm_b40,5.0,0,0,10-75,20.917600346881507,25.29949904061101,4.381898693729504,,122431.15932764174,361.3616477598698,27.592129916531725
input,synthetic,count1_r40_norm_b40,5.0,0,1,150-225,-4.119422122743451,,,,,,
detection,synthetic,count1_r40_norm_b40,5.0,0,1,150-225,-4.119422122743451,24.289042352881122,28.408464475624573,,374.5739738579303,1.395190026845752,21.864500360192505
input,synthetic,count1_r40_norm_b40,10.0,0,0,10-75,25.917600346881507,,,,,,
detection,synthetic,count1_r40_norm_b40,10.0,0,0,10-75,25.917600346881507,25.299189278873506,-0.618411068008001,,387175.39182650764,1142.8489106059683,27.590161970435325
input,synthetic,count1_r40_norm_b40,10.0,0,1,150-225,0.8805778772565489,,,,,,
detection,synthetic,count1_r40_norm_b40,10.0,0,1,150-225,0.8805778772565489,24.60496610885851,23.72438823160196,,1185.6731344079838,4.106467297688507,23.514293412784543
input,synthetic,count1_r40_norm_b40,15.0,0,0,10-75,30.917600346881507,,,,,,
detection,synthetic,count1_r40_norm_b40,15.0,0,0,10-75,30.917600346881507,25.29876175468555,-5.6188385921959565,,1224381.2614306766,3614.4356641135073,27.58744609871153
input,synthetic,count1_r40_norm_b40,15.0,0,1,150-225,5.880577877256549,,,,,,
detection,synthetic,count1_r40_norm_b40,15.0,0,1,150-225,5.880577877256549,24.713523999487155,18.832946122230606,,3751.70293644068,12.672901030746289,24.109473261565395
input,synthetic,count1_r40_norm_b40,20.0,0,0,10-75,35.91760034688151,,,,,,
detection,synthetic,count1_r40_norm_b40,20.0,0,0,10-75,35.91760034688151,25.298441257908173,-10.619159088973333,,3871878.414323463,11430.8252437034,27.585410300030777
input,synthetic,count1_r40_norm_b40,20.0,0,1,150-225,10.880577877256549,,,,,,
detection,synthetic,count1_r40_norm_b40,20.0,0,1,150-225,10.880577877256549,24.750552530575234,13.869974653318685,,11868.173849190998,39.7492232426253,24.31591268472052
input,synthetic,count1_r40_norm_b65,-5.0,0,0,10-75,10.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b65,-5.0,0,0,10-75,10.917600346881503,25.09574526033006,14.178144913448556,,12128.746563549481,37.51814826370345,26.327513746242225
input,synthetic,count1_r40_norm_b65,-5.0,0,1,150-225,-14.883840141322048,,,,,,
detection,synthetic,count1_r40_norm_b65,-5.0,0,1,150-225,-14.883840141322048,20.481324037345804,35.365164178667854,,30.41379449740021,0.27223139172364264,9.098456559700212
input,synthetic,count1_r40_norm_b65,0.0,0,0,10-75,15.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b65,0.0,0,0,10-75,15.917600346881503,25.10504547679622,9.187445129914718,,38380.482488599235,118.46931636965262,26.383953315129915
input,synthetic,count1_r40_norm_b65,0.0,0,1,150-225,-9.883840141322048,,,,,,
detection,synthetic,count1_r40_norm_b65,0.0,0,1,150-225,-9.883840141322048,22.15929394420168,32.043134085523725,,94.65132364580593,0.5757014155183984,13.389511006293255
input,synthetic,count1_r40_norm_b65,5.0,0,0,10-75,20.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b65,5.0,0,0,10-75,20.917600346881503,25.10776740505209,4.190167058170587,,121416.34565637494,374.5419066593911,26.40049456553032
input,synthetic,count1_r40_norm_b65,5.0,0,1,150-225,-4.8838401413220485,,,,,,
