model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
B64,64,10.0,10.0,0.5,27,1,1,0,True,0.0037636316598366193,0.020384238311724173
E0,256,10.0,10.0,0.5,28,2,2,0,False,0.0022379746929317434,0.012475118829591503
B64,64,10.0,10.0,0.5,28,1,1,0,True,0.128732896600269,0.5497269745532916
E0,256,10.0,10.0,0.5,29,2,2,0,False,0.0017533760923811315,0.013514617768340878
B64,64,10.0,10.0,0.5,29,3,2,1,False,0.028228299729121886,0.1383970140888484
E0,256,10.0,10.0,0.5,30,2,2,0,False,0.0017626388513889424,0.013041624796957123
B64,64,10.0,10.0,0.5,30,1,1,0,True,0.1244213016427409,0.5357666808314829
E0,256,10.0,10.0,0.5,31,3,2,1,False,0.0019775465719646945,0.012378420589411042
B64,64,10.0,10.0,0.5,31,2,1,1,True,0.1289386583367218,0.5361889609606494
E0,256,10.0,10.0,1.0,0,3,2,1,False,0.0023293675484126197,0.01940772502336347
B64,64,10.0,10.0,1.0,0,3,2,1,False,0.04273122881755853,0.3623396674271868
E0,256,10.0,10.0,1.0,1,2,2,0,False,0.0016471040823233807,0.021822254035912016
B64,64,10.0,10.0,1.0,1,2,1,1,True,0.11260004446739913,0.9167047492250182
E0,256,10.0,10.0,1.0,2,2,2,0,False,0.0020021169616768475,0.01883740241378919
B64,64,10.0,10.0,1.0,2,2,2,0,False,0.04131310764014984,0.3365066834056216
E0,256,10.0,10.0,1.0,3,3,2,1,False,0.0013233663270852958,0.014834337992752685
B64,64,10.0,10.0,1.0,3,3,2,1,False,0.011773899708401814,0.11373961265511497
E0,256,10.0,10.0,1.0,4,2,2,0,False,0.0026450157539841257,0.01791874417037479
B64,64,10.0,10.0,1.0,4,2,1,1,True,0.11300296343986815,0.9551540628586336
E0,256,10.0,10.0,1.0,5,2,2,0,False,0.0031395312533675224,0.024769094168267298
B64,64,10.0,10.0,1.0,5,2,2,0,False,0.04102517302219155,0.35174350856247505
E0,256,10.0,10.0,1.0,6,2,2,0,False,0.002181544838677496,0.0233670431506678
B64,64,10.0,10.0,1.0,6,2,1,1,True,0.10962721766964023,0.8936859600532996
E0,256,10.0,10.0,1.0,7,3,2,1,False,0.0018324953525308274,0.02228079695634687
B64,64,10.0,10.0,1.0,7,3,1,2,True,0.12809917696645812,1.0506810656647045
E0,256,10.0,10.0,1.0,8,3,2,1,False,0.0023199769488826405,0.015971106015686767
B64,64,10.0,10.0,1.0,8,1,1,0,True,0.12838121940833958,1.057277911155554
E0,256,10.0,10.0,1.0,9,3,2,1,False,0.0017935066257876997,0.01925232670257561
B64,64,10.0,10.0,1.0,9,1,1,0,True,0.053278930225218346,0.4388491107061349
E0,256,10.0,10.0,1.0,10,2,2,0,False,0.002572058833422375,0.016332925867431132
B64,64,10.0,10.0,1.0,10,3,2,1,False,0.012267088692524908,0.09249462260794561
E0,256,10.0,10.0,1.0,11,2,2,0,False,0.002303314230431397,0.019735045757199213
B64,64,10.0,10.0,1.0,11,2,1,1,True,0.13019548110293044,1.069913332581969
