split,episode_index,snr_db,outputs,expected_outputs,detected_true,exists_true,detected_equals_exists,detected_without_exists,exists_without_detected,zero_state_on_absent
train,129,5,1498,1498,1498,1498,True,0,0,True
train,129,10,1498,1498,1498,1498,True,0,0,True
train,129,15,1498,1498,1498,1498,True,0,0,True
train,129,20,1498,1498,1498,1498,True,0,0,True
train,130,5,1543,1543,1543,1543,True,0,0,True
train,130,10,1543,1543,1543,1543,True,0,0,True
train,130,15,1543,1543,1543,1543,True,0,0,True
train,130,20,1543,1543,1543,1543,True,0,0,True
train,131,5,1069,1069,1069,1069,True,0,0,True
train,131,10,1069,1069,1069,1069,True,0,0,True
train,131,15,1069,1069,1069,1069,True,0,0,True
train,131,20,1069,1069,1069,1069,True,0,0,True
train,132,5,1592,1592,1592,1592,True,0,0,True
train,132,10,1592,1592,1592,1592,True,0,0,True
train,132,15,1592,1592,1592,1592,True,0,0,True
train,132,20,1592,1592,1592,1592,True,0,0,True
train,133,5,995,995,995,995,True,0,0,True
train,133,10,995,995,995,995,True,0,0,True
train,133,15,995,995,995,995,True,0,0,True
train,133,20,995,995,995,995,True,0,0,True
train,134,5,837,837,837,837,True,0,0,True
train,134,10,837,837,837,837,True,0,0,True
train,134,15,837,837,837,837,True,0,0,True
train,134,20,837,837,837,837,True,0,0,True
train,135,5,660,660,660,660,True,0,0,True
train,135,10,660,660,660,660,True,0,0,True
